,ID,Title,Webindex,Company,Description,Category,Tokenized_description
0,00232,fpa  blue chip,68802053,hays senior finance,market leading retail business is going through rapid growth and due to this expansion is looking to add financial planning analyst to its central team based in central london this is fantastic opportunity to join newly created team driving forward the financial planning and analysis for the group reporting directly to the head of fp assist in revenue analysis by product channel region provide commercial input and review of business cases presenting proposals for approval work with the business to develop the endtoend planning cycle and processes lead the regional planning processes to ensure completeness for all key business channels and products provide finance support to the year strategic plan in addition you will work globally with the business regions to develop the capital investment plan to join this forward thinking business you must be confident qualified analyst aca or cima with excellent interpersonal and communicational skills if this role is of interest to you and you feel you have the relevant skills please call me on this role will look at candidates straight from big audit firms so do apply if interested hays specialist recruitment limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers by applying for this job you accept the tcs privacy policy and disclaimers which can be found at hayscouk,accounting_finance,"['market', 'retail', 'rapid', 'growth', 'due', 'expansion', 'add', 'financial', 'planning', 'analyst', 'central', 'central', 'london', 'fantastic', 'newly', 'created', 'driving', 'forward', 'financial', 'planning', 'analysis', 'group', 'reporting', 'directly', 'head', 'fp', 'assist', 'revenue', 'analysis', 'product', 'channel', 'region', 'commercial', 'input', 'review', 'cases', 'presenting', 'proposals', 'approval', 'develop', 'endtoend', 'planning', 'cycle', 'processes', 'lead', 'regional', 'planning', 'processes', 'ensure', 'completeness', 'key', 'channels', 'products', 'finance', 'year', 'strategic', 'plan', 'addition', 'globally', 'regions', 'develop', 'capital', 'investment', 'plan', 'forward', 'thinking', 'confident', 'qualified', 'analyst', 'aca', 'cima', 'interpersonal', 'interest', 'feel', 'relevant', 'call', 'straight', 'big', 'audit', 'firms', 'interested', 'hays', 'specialist', 'limited', 'acts', 'employment', 'agency', 'permanent', 'employment', 'supply', 'temporary', 'workers', 'applying', 'accept', 'tcs', 'privacy', 'policy', 'disclaimers', 'found', 'hayscouk']"
1,00233,part time management accountant,70757636,fs2 uk ltd,you will be responsible for the efficient running of the accounting function of the business by implementing procedures and controls to ensure the accuracy of the management information presented to the directors to establish and maintain financial policies and management information systems and to liaise with management colleagues on all aspects of finance to provide high quality support service to the directors and officers of the company duties to include leading team of staff responsible for the production of management accounts creating implementing and monitoring processes and procedures for the creation of monthly forecasts preparing detailed weekly monthly and quarterly cash flow forecasts preparing detailed annual quarterly and monthly profit forecasts preparing detailed monthly financial statements to include profit and loss accounts balance sheet variance analysis and commentaries within working days of month end managing income and expenditure sales payroll and stocks offering professional judgement on financial matters and advising on ways of improving business performance carrying out any necessary research analysing it and concluding on the information liaising with other managers to put the finance view in context safeguarding tangible and intangible assets any other duties of financial matter that occur from time to time preparation of yearend file for independent accountants to produce yearly financial statements for hm revenue customs and companies house purposes cima or acca qualified ideally with background within retail industry,accounting_finance,"['responsible', 'efficient', 'running', 'accounting', 'function', 'implementing', 'procedures', 'controls', 'ensure', 'accuracy', 'presented', 'directors', 'establish', 'maintain', 'financial', 'policies', 'systems', 'liaise', 'colleagues', 'aspects', 'finance', 'quality', 'directors', 'officers', 'duties', 'staff', 'responsible', 'production', 'accounts', 'creating', 'implementing', 'monitoring', 'processes', 'procedures', 'creation', 'monthly', 'forecasts', 'preparing', 'detailed', 'weekly', 'monthly', 'quarterly', 'cash', 'flow', 'forecasts', 'preparing', 'detailed', 'annual', 'quarterly', 'monthly', 'profit', 'forecasts', 'preparing', 'detailed', 'monthly', 'financial', 'statements', 'profit', 'loss', 'accounts', 'balance', 'sheet', 'variance', 'analysis', 'days', 'month', 'end', 'managing', 'income', 'expenditure', 'payroll', 'stocks', 'offering', 'professional', 'judgement', 'financial', 'matters', 'advising', 'ways', 'improving', 'performance', 'carrying', 'research', 'analysing', 'liaising', 'managers', 'put', 'finance', 'view', 'context', 'safeguarding', 'assets', 'duties', 'financial', 'matter', 'occur', 'time', 'time', 'preparation', 'yearend', 'file', 'independent', 'accountants', 'produce', 'financial', 'statements', 'hm', 'revenue', 'companies', 'house', 'purposes', 'cima', 'acca', 'qualified', 'ideally', 'background', 'retail', 'industry']"
2,00234,ifa  employed,71356489,clark james ltd,role the purpose of the role is to provide advice via the telephone on leads that have been supplied by the company telesales department in addition you will provide face to face review service to the existing client bank person specification previous financial advising experience to include pensions and mortgages proven sales experience be fully diploma qualified with the capacity to get to chartered status computer literate have good all round technical knowledge good working knowledge of compliance requirements key responsibilities provide holistic financial planning advice service to new and existing clients you will be responsible for conducting initial meetings with prospective clients both face to face and via the telephone you will need to gather information about clients financial circumstances goals and objectives to enable appropriate advice to be given maintain client relationships and be customer focused be proactive and enthusiastic in your approach weekly reporting to line manager weekly reporting on all projects with outcomes and volumes quarterly reporting to the exec committee adhere to working practice of compliant environment the company will provide efficient back office support full paraplanning support package basic salary bonuses are paid by way of of business written with ote being per annum week paid holiday per annum group personal pension plan,accounting_finance,"['purpose', 'advice', 'telephone', 'leads', 'supplied', 'telesales', 'department', 'addition', 'face', 'face', 'review', 'existing', 'bank', 'person', 'specification', 'previous', 'financial', 'advising', 'pensions', 'proven', 'fully', 'diploma', 'qualified', 'capacity', 'chartered', 'status', 'computer', 'literate', 'round', 'technical', 'compliance', 'requirements', 'key', 'responsibilities', 'holistic', 'financial', 'planning', 'advice', 'existing', 'responsible', 'conducting', 'initial', 'meetings', 'prospective', 'face', 'face', 'telephone', 'gather', 'financial', 'circumstances', 'goals', 'objectives', 'enable', 'advice', 'maintain', 'relationships', 'focused', 'proactive', 'enthusiastic', 'approach', 'weekly', 'reporting', 'line', 'weekly', 'reporting', 'projects', 'outcomes', 'volumes', 'quarterly', 'reporting', 'exec', 'committee', 'adhere', 'practice', 'compliant', 'environment', 'efficient', 'back', 'office', 'paraplanning', 'package', 'basic', 'bonuses', 'paid', 'written', 'ote', 'annum', 'week', 'paid', 'holiday', 'annum', 'group', 'personal', 'pension', 'plan']"
3,00235,finance manager,69073629,accountancy action ltd,excellent opportunity to join our client an expanding business based in letchworth who are looking to recruit an aca qualified accountant to head up its small finance team reporting to the finance director youll assume day to day responsibility for managing and developing the team ensuring the timely completion of all statutory and management reporting monthly management accounting budgeting and forecasting annual statutory accounts managing small finance function youre aca qualified with previous management experience and have strong technical and interpersonal skills this role may well suit someone who is looking to make their first move out of practice,accounting_finance,"['expanding', 'recruit', 'aca', 'qualified', 'accountant', 'head', 'small', 'finance', 'reporting', 'finance', 'director', 'youll', 'assume', 'day', 'day', 'responsibility', 'managing', 'developing', 'ensuring', 'timely', 'completion', 'statutory', 'reporting', 'monthly', 'accounting', 'budgeting', 'forecasting', 'annual', 'statutory', 'accounts', 'managing', 'small', 'finance', 'function', 'youre', 'aca', 'qualified', 'previous', 'technical', 'interpersonal', 'suit', 'make', 'move', 'practice']"
4,00236,management accountant,70656648,alexander lloyd,our client offers interesting opportunity for part qualifiedfinalist qualified acca cima management accountant for charity based in surrey the role preparing accurate and timely monthly management accounts preparing and posting monthly accruals prepayments deferred and accrued income and other monthend journal assisting in the preparation of the annual budget process and yearend audits managing the fixed asset register and posting depreciation ad hoc project analysis the person essentially you will be pq finalist qualified aca acca cima with experience in similar role strong it skills including excel are must the benefits our client is offering varied and interesting role with basic salary up to plus benefits ejr management accountant is only one of many vacancies we are handling alexander lloyd finance and accountancy is the leading recruiter of partqualified accountants financial and management accountants financial controllers and finance directors across surrey sussex london and kent due to the high amount of interest that we receive for each of our roles unfortunately we cannot respond to each application individually therefore if you do not hear back from one of our consultants you have not been shortlisted for this role please continue to check our website wwwalexanderlloydcouk for any other roles which may be of interest,accounting_finance,"['offers', 'interesting', 'part', 'qualified', 'acca', 'cima', 'accountant', 'charity', 'surrey', 'preparing', 'accurate', 'timely', 'monthly', 'accounts', 'preparing', 'posting', 'monthly', 'accruals', 'prepayments', 'income', 'journal', 'assisting', 'preparation', 'annual', 'budget', 'process', 'yearend', 'audits', 'managing', 'fixed', 'asset', 'register', 'posting', 'ad', 'hoc', 'project', 'analysis', 'person', 'essentially', 'pq', 'finalist', 'qualified', 'aca', 'acca', 'cima', 'similar', 'excel', 'offering', 'varied', 'interesting', 'basic', 'accountant', 'vacancies', 'handling', 'lloyd', 'finance', 'accountancy', 'recruiter', 'partqualified', 'accountants', 'financial', 'accountants', 'financial', 'controllers', 'finance', 'directors', 'surrey', 'sussex', 'london', 'kent', 'due', 'amount', 'interest', 'receive', 'roles', 'respond', 'application', 'individually', 'hear', 'back', 'consultants', 'shortlisted', 'continue', 'check', 'website', 'roles', 'interest']"
5,00237,customer service administrator,68531828,not specified,customer service administrator our client successful financial services company located on the outskirts of edinburgh are currently recruiting for number of customerfocussed administrators for their mortgage processing team working initially on month contract monday to friday pm pm and saturdays am pm you will be processing incoming documentation with both accuracy and attention to detail in order to satisfy lending and risk requirements you will also appreciate and manage the mortgagebroker relationship through the management of incoming and outbound calls you will have an excellent eye for detail and be willing to propose workable solutions to queries rather than presenting issues you will strive to meet productivity targets whilst delivering exceptional customer service and be happy to take ownership and accountability on all customer interactions whilst getting things right first time you will be fully pc literate with an excellent working knowledge of excel and word as this role is working with financial services company you will need to successfully pass credit check if you feel this role is right for you apply now we look forward to hearing from you,accounting_finance,"['administrator', 'financial', 'located', 'outskirts', 'edinburgh', 'recruiting', 'number', 'administrators', 'mortgage', 'processing', 'initially', 'month', 'contract', 'monday', 'friday', 'pm', 'pm', 'saturdays', 'pm', 'processing', 'incoming', 'documentation', 'accuracy', 'attention', 'detail', 'order', 'satisfy', 'lending', 'risk', 'requirements', 'manage', 'relationship', 'incoming', 'outbound', 'calls', 'eye', 'detail', 'propose', 'workable', 'solutions', 'queries', 'presenting', 'issues', 'strive', 'meet', 'productivity', 'targets', 'whilst', 'delivering', 'exceptional', 'happy', 'ownership', 'accountability', 'whilst', 'things', 'time', 'fully', 'pc', 'literate', 'excel', 'word', 'financial', 'successfully', 'pass', 'credit', 'check', 'feel', 'forward', 'hearing']"
6,00238,accounts assistant,72451165,cherry professional limited,our hucknall based client are currently looking for an accounts assistant to join their team as soon as possible responsibilities include invoicecredit processing purchase ledger reviews purchase ledger payments and posting to the ledger statement reconciliations resolving queries sales ledger general accounts duties petty cash reconciliation bank reconciliations payroll key skills proven accounts experience team player strong excel skills excellent communication skills small company experience desirable but not essential this is really good opportunity for someone looking to grow within an organisation they are happy to take someone on that is studying their aat but has solid experience in the job role listed above this vacancy is being advertised by cherry professional who are acting as an employment agency on behalf of our client this job was originally posted as wwwtotaljobscomjobseekingaccountsassistantjob,accounting_finance,"['accounts', 'assistant', 'responsibilities', 'processing', 'purchase', 'ledger', 'reviews', 'purchase', 'ledger', 'payments', 'posting', 'ledger', 'statement', 'reconciliations', 'resolving', 'queries', 'ledger', 'general', 'accounts', 'duties', 'petty', 'cash', 'reconciliation', 'bank', 'reconciliations', 'payroll', 'key', 'proven', 'accounts', 'player', 'excel', 'communication', 'small', 'desirable', 'grow', 'organisation', 'happy', 'studying', 'aat', 'solid', 'listed', 'vacancy', 'advertised', 'professional', 'acting', 'employment', 'agency', 'behalf']"
7,00239,pensions administrator,71852020,hillman saunders,are you proven pensions administrator looking to work for one of the leading third party administrators in the uk then have an excellent opportunity for you the primary responsibility will be to provide full pensions administration service to clients and customers in an accurate efficient and timely manner this would include the processing and settling of transfers and leavers of the pension scheme as well as dealing with all types of retirement queries including quotations settlements and manual calculations to be considered for this role you need to have good working knowledge of the above pensions administration duties this will preferably come from working in third party pension administrator you will also need to have high level of numeracy and literacy as this may be tested at interview stage in return you will receive very competitive salary days holiday pension and benefits package this is an excellent opportunity not be missed so apply now fusion people are committed to promoting equal opportunities to people regardless of age gender religion belief race sexuality or disability we operate as an employment agency and employment business this job was originally posted as wwwtotaljobscomjobseekingpensionsadministratorjob,accounting_finance,"['proven', 'pensions', 'administrator', 'party', 'administrators', 'primary', 'responsibility', 'pensions', 'administration', 'customers', 'accurate', 'efficient', 'timely', 'manner', 'processing', 'settling', 'transfers', 'pension', 'scheme', 'dealing', 'types', 'retirement', 'queries', 'quotations', 'manual', 'calculations', 'considered', 'pensions', 'administration', 'duties', 'preferably', 'party', 'pension', 'administrator', 'level', 'numeracy', 'literacy', 'tested', 'interview', 'stage', 'return', 'receive', 'competitive', 'days', 'holiday', 'pension', 'package', 'missed', 'fusion', 'people', 'committed', 'promoting', 'equal', 'opportunities', 'people', 'age', 'gender', 'religion', 'belief', 'race', 'sexuality', 'disability', 'operate', 'employment', 'agency', 'employment']"
8,00240,senior technical account analyst,71142126,not specified,working collaboratively with the functional areas of the business in particular underwriting core pricing and the trading teams you will be responsible for the technical analysis performance monitoring and management of designated broker portfolio of motor home accounts to ensure our projected mix of business and ultimate profitability is realised resulting in achievement of corporate plan objectives targets and overall retail strategy ensuring the workload is appropriate sufficiently varied and suitably challenging you will take responsibility for the leadership and management of direct report who will in turn be responsible for their own portfolio of accounts that operate similar trading models to your own allowing provision for quality and responsive service to internal and external customers you will provide timely and accurate analysis interacting and providing the necessary ongoing technical support you will develop and maintain an indepth knowledge of the trading dynamics and characteristics of the accounts allocated to you conduct regular proactive monitoring and analysis of kpisbusiness profiles act upon emerging trends identified making recommendations for change as appropriate exploit opportunities from within the portfolio and significantly contribute to the commercial evaluation of new opportunities and propositions applying an innovative and creative approach represent technical both internally and externally providing requisite technical support who we re looking for proven portfolio management experience in personal lines environment proven analytical and data interpretation skills excellent ms excel and access skills sas experience desirable data dexterity comfortable working with large volumes of data from disparate sources ability to analyse conflicting data recognise key factors and have the ability to identify emerging trends and act upon them ability to gain and maintain firm grasp of the business and the context which it and the functions within are operating experience of models experience in the evaluation and creation of business cases experience of the intermediated uk personal lines market and the varied business models being operated negotiation experience ability to influence discussions at all levels both internally and externally able to put case across and set action as result proven people management experience technically competent acii qualified or progress towards preferred excellent knowledge of the home motor uk intermediated market confident self believer with positive attitude looks for and finds solutions logical thinker proven high degree of numerical ability ability to apply analytical thinking excellent judgement and intuition trading mentality strategic thinker excellent communication skills understands the business implications of their analysis rec about our client our client is one of the best know insurance business in the world what on offer an excellent salary and package working within an interesting and challenging role,accounting_finance,"['functional', 'areas', 'underwriting', 'core', 'pricing', 'trading', 'teams', 'responsible', 'technical', 'analysis', 'performance', 'monitoring', 'designated', 'broker', 'portfolio', 'motor', 'home', 'accounts', 'ensure', 'projected', 'mix', 'ultimate', 'profitability', 'realised', 'resulting', 'achievement', 'corporate', 'plan', 'objectives', 'targets', 'retail', 'strategy', 'ensuring', 'workload', 'varied', 'suitably', 'challenging', 'responsibility', 'leadership', 'direct', 'report', 'turn', 'responsible', 'portfolio', 'accounts', 'operate', 'similar', 'trading', 'models', 'allowing', 'provision', 'quality', 'responsive', 'internal', 'external', 'customers', 'timely', 'accurate', 'analysis', 'interacting', 'providing', 'ongoing', 'technical', 'develop', 'maintain', 'indepth', 'trading', 'dynamics', 'characteristics', 'accounts', 'allocated', 'conduct', 'regular', 'proactive', 'monitoring', 'analysis', 'profiles', 'act', 'emerging', 'trends', 'identified', 'making', 'recommendations', 'change', 'opportunities', 'portfolio', 'significantly', 'contribute', 'commercial', 'evaluation', 'opportunities', 'propositions', 'applying', 'innovative', 'creative', 'approach', 'represent', 'technical', 'internally', 'externally', 'providing', 'technical', 'proven', 'portfolio', 'personal', 'lines', 'environment', 'proven', 'analytical', 'data', 'interpretation', 'ms', 'excel', 'access', 'desirable', 'data', 'comfortable', 'large', 'volumes', 'data', 'sources', 'analyse', 'conflicting', 'data', 'recognise', 'key', 'factors', 'identify', 'emerging', 'trends', 'act', 'gain', 'maintain', 'firm', 'grasp', 'context', 'functions', 'operating', 'models', 'evaluation', 'creation', 'cases', 'intermediated', 'personal', 'lines', 'market', 'varied', 'models', 'operated', 'negotiation', 'influence', 'discussions', 'levels', 'internally', 'externally', 'put', 'case', 'set', 'action', 'result', 'proven', 'people', 'technically', 'competent', 'acii', 'qualified', 'progress', 'preferred', 'home', 'motor', 'intermediated', 'market', 'confident', 'positive', 'attitude', 'solutions', 'logical', 'thinker', 'proven', 'degree', 'numerical', 'analytical', 'thinking', 'judgement', 'trading', 'mentality', 'strategic', 'thinker', 'communication', 'understands', 'implications', 'analysis', 'rec', 'insurance', 'world', 'offer', 'package', 'interesting', 'challenging']"
9,00241,financial administrator and support fleet dept,68700672,anonymous,job purpose to assist in all aspects of fleet financial coordination and administration responsibilities accurate processing of all supplier invoices production of reports relating to all aspects of fleet management maintenance of fleet insurance databases and vehicle files manage and coordinate vehicle mot bookings road fund license renewal and fuel card management act as finance and account interface with fleet suppliers and other parties manage the overflowback up for the fleet calls any other adminfinance duties where time permits and as required skills knowledge experience first class communication skills both written and verbal excellent telephone manner excellent computer skills especially with microsoft word excel and outlook analytical and flexible approach to various tasks required proactive and optimistic attitude ability to work to deadlines well presented reliable and punctual this job was originally posted as wwwtotaljobscomjobseekingfinancialadministratorandsupportfleetdeptjob,accounting_finance,"['purpose', 'assist', 'aspects', 'fleet', 'financial', 'coordination', 'administration', 'responsibilities', 'accurate', 'processing', 'supplier', 'invoices', 'production', 'reports', 'relating', 'aspects', 'fleet', 'maintenance', 'fleet', 'insurance', 'databases', 'vehicle', 'files', 'manage', 'coordinate', 'vehicle', 'mot', 'bookings', 'road', 'fund', 'license', 'renewal', 'fuel', 'card', 'act', 'finance', 'account', 'interface', 'fleet', 'suppliers', 'parties', 'manage', 'fleet', 'calls', 'duties', 'time', 'permits', 'class', 'communication', 'written', 'verbal', 'telephone', 'manner', 'computer', 'microsoft', 'word', 'excel', 'outlook', 'analytical', 'flexible', 'approach', 'tasks', 'proactive', 'attitude', 'deadlines', 'presented', 'reliable', 'punctual']"
